"","x"
"696",7.82861625936542e-08
"697",8.27350905960476e-08
"698",8.38456954386566e-08
"699",8.09594082382303e-08
"700",8.13742063144153e-08
"701",8.00633642926692e-08
"702",8.23510289434486e-08
"703",8.52018333329572e-08
"704",8.74836929061242e-08
"705",9.03838285825747e-08
"706",8.62958618138787e-08
"707",8.41993557885097e-08
"708",9.08914663958713e-08
"709",9.29571432736341e-08
"710",9.58682503640651e-08
"711",9.30524912710943e-08
"712",9.59528108798146e-08
"713",9.59353135976332e-08
"714",9.49278499931491e-08
"715",1.00982634655449e-07
"716",1.01222852122105e-07
"717",1.0103922650636e-07
"718",9.93272197542048e-08
"719",1.04218139170883e-07
"720",1.08304518685731e-07
"721",1.08638752866372e-07
"722",1.08327524273563e-07
"723",1.12463275852022e-07
"724",1.15222948881107e-07
"725",1.10773048216791e-07
"726",1.1584552100369e-07
"727",1.15689924674799e-07
"728",1.1496624996881e-07
"729",1.13567392721644e-07
"730",1.1802513302246e-07
"731",1.25890008323332e-07
"732",1.19437001330977e-07
"733",1.2344500938272e-07
"734",1.24454885879043e-07
"735",1.24910615371353e-07
"736",1.32543152956987e-07
"737",1.31300769241821e-07
"738",1.36713852584823e-07
"739",1.31772328863219e-07
"740",1.34455179733676e-07
"741",1.34000804337131e-07
"742",1.3548224789096e-07
"743",1.36206648492863e-07
"744",1.451088686118e-07
"745",1.47153711270125e-07
"746",1.4540852396052e-07
"747",1.46347689910354e-07
"748",1.46861566696402e-07
"749",1.48543914393141e-07
"750",1.5427783202663e-07
"751",1.59942045040099e-07
"752",1.5993240011712e-07
"753",1.62520567157287e-07
"754",1.63271885923883e-07
"755",1.61621765596205e-07
"756",1.64741776550966e-07
"757",1.66520172232085e-07
"758",1.73107781113364e-07
"759",1.74648656224172e-07
"760",1.73228457088677e-07
"761",1.7570565219326e-07
"762",1.78295524255377e-07
"763",1.88357318918003e-07
"764",1.83774082869658e-07
"765",1.83831061289713e-07
"766",1.98069395793387e-07
"767",1.89305207848865e-07
"768",1.97655549478402e-07
"769",2.0120858279279e-07
"770",1.95041778332212e-07
"771",2.0151454120307e-07
"772",2.06863265073216e-07
"773",2.06029290893527e-07
"774",2.11336268293747e-07
"775",2.23536084043947e-07
"776",2.21682751698492e-07
"777",2.1828930558032e-07
"778",2.31077023885094e-07
"779",2.26819543632811e-07
"780",2.44843950069655e-07
"781",2.37351459799284e-07
"782",2.34767896724128e-07
"783",2.409200721118e-07
"784",2.43391607764067e-07
"785",2.45523531893439e-07
"786",2.55045957170313e-07
"787",2.51187286916106e-07
"788",2.59395778550908e-07
"789",2.56552752953062e-07
"790",2.60340208566359e-07
"791",2.70569062107865e-07
"792",2.80258887744526e-07
"793",2.7207420995857e-07
"794",3.03684226535645e-07
"795",2.94452742506996e-07
"796",2.93255839727469e-07
"797",2.86274887877533e-07
"798",3.16607566269609e-07
"799",3.03426851277046e-07
"800",3.15441716823173e-07
"801",3.0707723634637e-07
"802",3.17333808424534e-07
"803",3.31477833044151e-07
"804",3.24844467899436e-07
"805",3.38822856445697e-07
"806",3.44523114219405e-07
"807",3.41538223387415e-07
"808",3.58875976651788e-07
"809",3.5721016396087e-07
"810",3.71205799987922e-07
"811",3.75196728598482e-07
"812",3.61347405405839e-07
"813",3.86321723581017e-07
"814",4.01477095026497e-07
"815",4.16438667489941e-07
"816",4.01697768387845e-07
"817",3.89505073837662e-07
"818",4.14689561999746e-07
"819",4.00091146023722e-07
"820",4.286687840563e-07
"821",4.32531590381043e-07
"822",4.39836516032332e-07
"823",4.45955476082548e-07
"824",4.56735559817029e-07
"825",4.62803476682423e-07
"826",4.6915409257003e-07
"827",4.54684998829176e-07
"828",4.55560137330835e-07
"829",4.7474855909334e-07
"830",5.12562753873228e-07
"831",4.74709517776591e-07
"832",4.97476234370846e-07
"833",5.15448671980558e-07
"834",5.11282145857247e-07
"835",5.14866855119832e-07
"836",5.31731986012104e-07
"837",5.30900150964539e-07
"838",5.42215414448666e-07
"839",5.55522948341933e-07
"840",5.78078074560851e-07
"841",5.52767866969559e-07
"842",5.69454096233365e-07
"843",5.99075878383321e-07
"844",6.30146251835324e-07
"845",6.30729327895473e-07
"846",6.08326650873031e-07
"847",6.60609050424118e-07
"848",6.3555418481941e-07
"849",6.54632416767822e-07
"850",6.5712769051497e-07
"851",6.48429458327632e-07
"852",6.69534295247222e-07
