m	v	0	21	24	27	45	47	69	79	93	103	120	127	141	144	145	169	172	175	189	193	197	216	217	220	242	262	266	267	288	289	291	305	315	330	335	340	356	364	368	380	388	389	407	413	431	436	438	451	461	462	476	482	486	498	509	511	523	534	535	547	556	560	577	582	601	604	609	619	628	633	648	652	672	675	681	693	704	718	724	729	742	748	772	753	778	762	790	798	802	814	817	826	835	844	851	857	863	880	899	907	932	937	955	960	971	979	992	1013	1019
22	30	sd																																																																																																												
23	1																							sd																																																																																						
23	2															s?	sd																																																																																													
23	3																							s																																																				sd																																		
23	4																																												s									ns									s								sd																																							
23	5																s																																																						sd																																							
23	6	sd																																																																																																												
23	7																																	s?											s									sd																																																								
23	8															s	sd																																																																																													
23	9																				s			ns													sd																																																																									
23	10																																																		s																	sd																																										
23	11											s					sd																																																																																													
23	12																																	s?														ns									s																			sd																																		
23	13																				s			s?										s																																		sd																																										
23	14																																				s																															sd																																										
23	15																																	s																																															sd																													
23	16																																										s?		s			ns									s																																																					sd
23	17																s?																				ns																																																	s				ns			s													sd				
23	18																																																		s			ns						s																																	sd																	
23	19																							s?										ns											s																							sd																																										
23	20											sd																																																																																																		
23	21																s?				s																																															sd																																										
23	22																																						s?															ns																											s									ns			s							sd										
23	23																																						s				sd																																																																			
23	24																																																								sd																																																					
23	25																																																								s						sd																																															
23	26																																																																											s					sd																													
23	27			s												ns								s?		ns											s		ns																													s								sd																																		
23	28																																																		s			sd																																																								
23	29																							s?								ns													s			ns																												s										sd																								
23	30											sd																																																																																																		
24	1																																						sd																																																																							
24	2																							s		sd																																																																																				
24	3																							sd																																																																																						
24	4																																																								s																			sd																																		
24	5																s?							ns										s																													sd																																															
24	6																																																		s									sd																																																		
24	7																																				sd																																																																									
24	8																																																																											sd																																		
24	9																																	s																				ns						sd																																																		
24	10																																																																			s								sd																																		
24	11	s										sd																																																																																																		
24	12																sd																																																																																													
24	13															s?					sd																																																																																									
24	14																																																																			s													sd																													
24	15																				s?					ns																			s						sd																																																											
24	16											sd																																																																																																		
24	17																				s?			sd																																																																																						
24	18																																	s									ns														s											sd																																										
24	19																sd																																																																																													
24	20																s?				sd																																																																																									
24	21																				sd																																																																																									
24	22											s														sd																																																																																				
24	23																							sd																																																																																						
24	24																																						sd																																																																							
24	25			s								sd																																																																																																		
24	26	sd																																																																																																												
24	27																																												s									ns																						s																				sd														
24	28																				s?					s																												ns									s																																	sd														
24	29																							sd																																																																																						
24	30																																				s		sd																																																																							
25	1																																																														sd																																															
25	2																																						s												sd																																																											
25	3			s												ns																																																																	s				sd																									
25	4																																																																																												s			sd														
25	5											sd																																																																																																		
25	6																																																																						s																													sd										
25	7																																																								s			sd																																																		
25	8																s				s?			s													ns																	s														sd																																										
25	9																																																																																																									sd				
25	10																																																																											sd																																		
25	11																																				s		s?				ns														s						ns								sd																																							
25	12			s?																												ns		s																							sd																																																					
25	13															s?										s						sd																																																																														
25	14											s					sd																																																																																													
25	15																																						sd																																																																							
25	16																																	s?			s																															sd																																										
25	17											s																																																																sd																																		
25	18																s?				s							sd																																																																																		
25	19																				s											ns																																												sd																																		
25	20																									s?						ns																																							sd																																							
25	21																																																																											s					sd																													
25	22																																	s?																				ns			s			sd																																																		
25	23																																																																																				s															sd										
