"","x"
"252",1.62437075194045e-08
"253",1.55057817081972e-08
"254",1.65580739809966e-08
"255",1.58750482444994e-08
"256",1.60457675589026e-08
"257",1.56572743374431e-08
"258",1.62861417820267e-08
"259",1.56215849403789e-08
"260",1.56032572279114e-08
"261",1.66389594834961e-08
"262",1.56268028849433e-08
"263",1.43889365525011e-08
"264",1.59644296069322e-08
"265",1.57296223000036e-08
"266",1.5145709763945e-08
"267",1.50553844583481e-08
"268",1.6604935579892e-08
"269",1.66122256358086e-08
"270",1.62886435903122e-08
"271",1.54645748511125e-08
"272",1.51570715872874e-08
"273",1.59075833985211e-08
"274",1.54068790920612e-08
"275",1.48630888414089e-08
"276",1.48807417560822e-08
"277",1.59012443792992e-08
"278",1.55435019080995e-08
"279",1.57473957124449e-08
"280",1.64898299967975e-08
"281",1.5655471035071e-08
"282",1.66591167168926e-08
"283",1.58469481714741e-08
"284",1.60967851702905e-08
"285",1.57844754364321e-08
"286",1.64719363496433e-08
"287",1.57023174947093e-08
"288",1.55514105768124e-08
"289",1.57574842675509e-08
"290",1.53222666015819e-08
"291",1.47348189109226e-08
"292",1.54719433750112e-08
"293",1.63032300273341e-08
"294",1.55133620877252e-08
"295",1.68462707677272e-08
"296",1.62603435299306e-08
"297",1.60032390169001e-08
"298",1.57721005848908e-08
"299",1.6174842758748e-08
"300",1.64146478039445e-08
"301",1.63273924377063e-08
"302",1.5595912914447e-08
"303",1.60740563255468e-08
"304",1.55873482598256e-08
"305",1.67210151467472e-08
"306",1.62921567466388e-08
"307",1.66851698413731e-08
"308",1.56482528989389e-08
"309",1.65979721058539e-08
"310",1.73548921862417e-08
"311",1.63760163648412e-08
"312",1.70502962666188e-08
"313",1.68843132188098e-08
"314",1.6045351292408e-08
"315",1.67173104182161e-08
"316",1.74575055187788e-08
"317",1.63584263940021e-08
"318",1.73796486714472e-08
"319",1.6136722092932e-08
"320",1.73166195197323e-08
"321",1.71303750382695e-08
"322",1.69902177969005e-08
"323",1.76469529657253e-08
"324",1.73933000762343e-08
"325",1.67777647773897e-08
"326",1.73208119883646e-08
"327",1.80510001177127e-08
"328",1.73050749249946e-08
"329",1.69925307292328e-08
"330",1.69956054379796e-08
"331",1.71846107092535e-08
"332",1.78632875978021e-08
"333",1.63625999836856e-08
"334",1.81316397750308e-08
"335",1.69420566083544e-08
"336",1.69974338520893e-08
"337",1.59882470846592e-08
"338",1.7842205381423e-08
"339",1.7528617478668e-08
"340",1.65554564831938e-08
"341",1.76068606313197e-08
"342",1.82673635757736e-08
"343",1.76595577481966e-08
"344",1.7836368708694e-08
"345",1.83200138659715e-08
"346",1.87570516803612e-08
"347",1.86840992770986e-08
"348",1.68761754835572e-08
"349",1.94188542798296e-08
"350",1.81189151308935e-08
"351",1.83240712581874e-08
"352",1.73943180433931e-08
"353",1.89749160444905e-08
"354",1.77526542998035e-08
"355",1.84685720076348e-08
"356",1.83620532333959e-08
"357",1.82922508461861e-08
"358",1.75908246592948e-08
"359",1.77338168249678e-08
"360",1.85411992484726e-08
"361",1.72750333895501e-08
"362",1.88707787754276e-08
"363",1.91522611905213e-08
"364",1.78377120958469e-08
"365",1.81155511772496e-08
"366",1.82937428348789e-08
"367",1.89975598494501e-08
"368",1.7870824956978e-08
